2018-11-02 17:04:21.301 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$5e9ff4bb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-02 17:54:13.441 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 17:54:13.473 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 17:54:13.474 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 17:54:13.693 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 17:54:13.726 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 17:54:13.785 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@793f044c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@183357c4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@52c71145, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@b3ef378, org.springframework.test.context.support.DirtiesContextTestExecutionListener@51e2510c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@613714d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@67385a81, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@24be0018, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@35f83a80, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3bc8c52e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7a096dab, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@ff3425]
2018-11-02 17:54:13.792 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 17:54:13.793 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 17:54:13.793 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 17:54:13.812 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 17:54:13.831 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 17:54:13.847 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@21bab96e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@69e3f60e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@752f4771, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72fb87d1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5f91e550, org.springframework.test.context.transaction.TransactionalTestExecutionListener@63661834, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@43bf30e7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3d23b070, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7214a86b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2a3d4350, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1c0e4eda, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6f5ad899]
2018-11-02 17:54:14.894 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@357227df: startup date [Fri Nov 02 17:54:14 CST 2018]; root of context hierarchy
2018-11-02 17:54:15.195 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-11-02 17:54:15.257 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e0429032] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-02 18:01:00.105 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 18:01:00.114 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 18:01:00.115 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 18:01:00.329 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 18:01:00.363 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 18:01:00.414 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7a096dab, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@ff3425, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@72b869a5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@29200a7a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@768fe4ad, org.springframework.test.context.transaction.TransactionalTestExecutionListener@60ee56aa, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3f7be49d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ede1ffa, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@490586be, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@9d14966, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@b29cc93, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6535cc9e]
2018-11-02 18:01:00.421 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 18:01:00.422 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 18:01:00.423 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 18:01:00.442 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 18:01:00.460 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 18:01:00.477 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1c0e4eda, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6f5ad899, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@35425dec, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18244c45, org.springframework.test.context.support.DirtiesContextTestExecutionListener@770b5264, org.springframework.test.context.transaction.TransactionalTestExecutionListener@84e604b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5193e02f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@43635780, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2f05b710, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2035938e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1d6a6027, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@32ceaf87]
